Name,EnrollmentCount,Category,FullAddress,Latitude,Longitude
Cleveland High School,130,Tiny,"Cleveland Jr High School, 1000 Walsh St, St Paul, MN 55106-3198, USA",44.9719101,-93.0685515
Climax High School,37,Tiny,"Climax, MN 56523, USA",47.6077515,-96.8170222
Clinton-Graceville-Beardsley H.S.,111,Tiny,"Clinton-Graceville-Beardsley Elementary School, 601 1st St, Clinton, MN 56225, USA",45.4577419,-96.4383648
Cloquet Christian Academy,4,Tiny,"Minnesota, USA",46.729553,-94.6858998
Cloquet High School,614,Medium,"Cloquet High School, 1000 18th St, Cloquet, MN 55720-2487, USA",46.708799,-92.4442323
Columbia Heights High School,697,Medium,"Columbia Heights High School, 1400 49th Ave, Minneapolis, MN 55421-1939, USA",45.0553446,-93.2398034
Comfrey High School,34,Tiny,"Comfrey Secondary School, Comfrey, MN 56019, USA",44.1091667,-94.9075
Community Christian High School,17,Tiny,"Western Christian High School, Hull, IA 51239, USA",43.19219,-96.14263
Community of Peace Academy,146,Tiny,"Minnesota, USA",46.729553,-94.6858998
Concordia Academy-Roseville,445,Small,"Concordia Academy, 2400 Dale St N, St Paul, MN 55113-4598, USA",45.012855,-93.122943
Cook County High School,166,Tiny,"Cook County Community Education, Superior National Forest, 101 W 5th St, Grand Marais, MN 55604-1337, USA",47.755742,-90.334621
Coon Rapids High School,2120,VeryLarge,"School, 2340 Northdale Blvd NW, Coon Rapids, MN 55433-3097, USA",45.181147,-93.325203
Cotter High School,299,Small,"Cotter Schools, 1115 W Broadway, Winona, MN 55987, USA",44.052811,-91.667143
Country Bible Christian,7,Tiny,"Country Bible Christian Academy, 27871 140th Ave, Ashby, MN 56309-4552, USA",46.1654299,-95.7906457
Cretin-Derham Hall High School,1328,Large,"Cretin-Derham Hall, 550 Albert St S, St Paul, MN 55116-1699, USA",44.9248944,-93.1593369
Cristo Rey Jesuit High School,268,Small,"Cristo Rey Jesuit High School, 2924 4th Ave S, Minneapolis, MN 55408, USA",44.9494476,-93.2709123
Cromwell High School,74,Tiny,"Cromwell High School, 5624 Hwy 210, Cromwell, MN 55726, USA",46.6791667,-92.8847222
Crookston High School,365,Small,"Crookston High School, 402 Fisher Ave, Crookston, MN 56716, USA",47.78925,-96.603526
Crosby-Ironton High School,309,Small,"Crosby-Ironton Secondary School, 711 Poplar St, Crosby, MN 56441, USA",46.4779919,-93.9655317
Dassel-Cokato High School,557,Medium,"Dassel-Cokato High School, 4852 Reardon Ave SW, Cokato, MN 55321-5011, USA",45.0823615,-94.2336686
Dawson-Boyd High School,138,Tiny,"Dawson High School, 848 Chestnut St, Dawson, MN 56232-2224, USA",44.9305556,-96.0580556
Deer River High School,215,Small,"Deer River High School, 101 1st Ave NE, Deer River, MN 56636-8734, USA",47.3344444,-93.7916666
Delano High School,735,Medium,"Delano Public School, 700 Elm Ave E # 1, Delano, MN 55328-8237, USA",45.042894,-93.776949
DeLaSalle High School,544,Medium,"De Lasalle High School, Mississippi National River and Recreation Area, 1 De La Salle Dr, Minneapolis, MN 55401, USA",44.9871876,-93.2627251
Detroit Lakes High School,737,Medium,"Detroit Lakes High School, 1301 Roosevelt Ave, Detroit Lakes, MN 56501-4407, USA",46.8083333,-95.8372221
Dilworth-Glyndon-Felton H.S.,330,Small,"Dilworth-glyndon-felton, Minnesota, USA",46.9858777,-96.5887048
Discovery Public School of Faribault,40,Tiny,"Faribault, MN 55021, USA",44.2949636,-93.268827
Dover-Eyota High School,303,Small,"Dover-Eyota High School, 615 South Ave, Eyota, MN 55934, USA",43.9830556,-92.2313889
Duluth East High School,1345,Large,"Duluth East High School, 2900 E 4th St, Duluth, MN 55812-1597, USA",46.8243125,-92.042309
E.C.H.O. Charter School,57,Tiny,"Echo Charter School, 101 Rocket Ave, Echo, MN 56237, USA",44.6173272,-95.4101143
Eagan High School,2147,VeryLarge,"Eagan High School, 4185 Braddock Trl, Eagan, MN 55123-1762, USA",44.806123,-93.132691
Eagle Country Christian Academy,4,Tiny,"Eagle Country Christian Academy, Remer, MN 56672, USA",47.0561614,-93.9158912
Eagle Ridge Academy,150,Tiny,"Eagle Ridge Academy, 7255 Flying Cloud Dr, Eden Prairie, MN 55344-3549, USA",44.872297,-93.412005
Eagle Valley High School,72,Tiny,"Eagle Bend, MN 56446, USA",46.1649632,-95.0391936
East Central High School,190,Tiny,"Central High School, 275 Lexington Pkwy, St Paul, MN 55104-5402, USA",44.94941,-93.1479984
East Grand Forks High School,514,Medium,"Sacred Heart High School, 122 3rd St NW, East Grand Forks, MN 56721-1827, USA",47.9277919,-97.0229321
East Ridge High School,1543,Large,"East Ridge High School, 4200 Pioneer Dr, Woodbury, MN 55129-9534, USA",44.8862624,-92.9327734
Eastview High School,2056,VeryLarge,"Eastview High School, 6200 140th St W, Apple Valley, MN 55124-3328, USA",44.743793,-93.192249
Eden Prairie High School,3007,VeryLarge,"Eden Prairie High School, 17185 Valley View Rd, Eden Prairie, MN 55346-4253, USA",44.872785,-93.491135
Eden Valley-Watkins High School,225,Small,"Eden Valley Secondary School, 298 Brooks St N, Eden Valley, MN 55329-1209, USA",45.3255556,-94.5441667
Edgerton High School,95,Tiny,"Southwest MN Christian High School, 550 W Elizabeth St, Edgerton, MN 56128-2777, USA",43.8759251,-96.1382995
Edina High School,2436,VeryLarge,"Edina High School, Minneapolis, MN 55439, USA",44.884124,-93.375335
EdVisions Off Campus High School,45,Tiny,"Henderson, MN, USA",44.5282971,-93.9077438
El Colegio Charter School,51,Tiny,"El Colegio Charter School, 4137 Bloomington Ave, Minneapolis, MN 55407-3332, USA",44.927802,-93.251997
El Shaddai School,18,Tiny,"Minnesota, USA",46.729553,-94.6858998
Elk River High School,1570,Large,"Elk River Senior High School, 900 School St NW, Elk River, MN 55330-1397, USA",45.3125,-93.5694444
Ellsworth High School,62,Tiny,"Ellsworth High School, 513 S Broadway St, Ellsworth, MN 56129-1053, USA",43.515523,-96.0186337
Ely High School,163,Tiny,"Washington Elementary School, Superior National Forest, 600 E Harvey St, Ely, MN 55731-1614, USA",47.901327,-91.858014
Esko High School,368,Small,"Lincoln School, 2 E Hwy 61, Esko, MN 55733-9629, USA",46.7356437,-92.3527821
Evansville High School,47,Tiny,"Evansville Secondary School, 123 2nd Ave, Evansville, MN 56326, USA",46.0066012,-95.6888464
Eveleth-Gilbert High School,294,Small,"Eveleth-Gilbert Senior High School, Eveleth, MN 55734, USA",47.4644444,-92.5313889
FAIR School,96,Tiny,"Fair School, 3915 Adair Ave, Minneapolis, MN 55485-0001, USA",45.026907,-93.357235
Fairmont High School,494,Small,"Fairmont High School, 714 Victoria St, Fairmont, MN 56031-4351, USA",43.6363442,-94.4488608
Faith Christian School,24,Tiny,"Faith Christian School, Lake View, MN 56501, USA",46.7966667,-95.886111
Faribault High School,946,Medium,"Faribault High School, 330 9th Ave SW, Faribault, MN 55021-5900, USA",44.285343,-93.285017
Farmington High School,1565,Large,"Farmington High School, 20655 Flagstaff Ave, Farmington, MN 55024-9242, USA",44.6501544,-93.2005405
Fergus Falls High School,730,Medium,"Fergus Falls Middle School, 601 Randolph Ave, Fergus Falls, MN 56537-1600, USA",46.2902778,-96.0655556
Fertile-Beltrami High School,135,Tiny,"Fertile-Beltrami Elementary School, 210 Mill St, Fertile, MN 56540, USA",47.5325,-96.2808333
Fillmore Central High School,159,Tiny,"Fillmore Central High School, 145 Main Ave S, Harmony, MN 55939, USA",43.5530212,-92.0107155
Fisher High School,76,Tiny,"Fisher High School, Fisher, MN 56723, USA",47.7977778,-96.7972221
Floodwood High School,94,Tiny,"Floodwood Secondary School, 115 W 4th Ave, Floodwood, MN 55736, USA",46.9296747,-92.9149715
Foley High School,436,Small,"Foley High School, 757 Penn St, Foley, MN 56329, USA",45.6702778,-93.9088888
Fond du Lac Ojibwe High School,34,Tiny,"Cloquet, MN, USA",46.7241667,-92.4638889
Forest Lake High School,1952,Large,"Forest Lake High School, Forest Lake, MN 55025, USA",45.2585787,-92.9799404
Fosston High School,172,Tiny,"Fosston High School, 301 1st St E, Fosston, MN 56542-1399, USA",47.575,-95.7475
Four Directions Charter School,63,Tiny,"Four Directions Charter School, 1113 W Broadway Ave, Minneapolis, MN 55411-2505, USA",44.9990662,-93.2947144
Frazee High School,222,Small,"Frazee Senior High School, 305 N Lake St, Frazee, MN 56544-4512, USA",46.7291989,-95.6991865
Fridley High School,718,Medium,"Fridley High School, 6000 Moore Lake Dr W, Minneapolis, MN 55432-5601, USA",45.0764422,-93.2528347
Fulda High School,140,Tiny,"Fulda High School, 410 N College Ave, Fulda, MN 56131-9439, USA",43.8744004,-95.6059782
G-F-W High School,265,Small,"West High School, Minneapolis, MN 55408, USA",44.9516317,-93.2996702
Glencoe-Silver Lake High School,513,Medium,"Glencoe-Silver Lake Senior High School, 1825 16Th St, Glencoe, MN 55336-1818, USA",44.7761233,-94.1376936
Glenville-Emmons High School,106,Tiny,"Glenville High School, 230 5th St SE, Glenville, MN 56036-8701, USA",43.5672903,-93.2756894
Goodhue High School,194,Tiny,"Goodhue, MN 55027, USA",44.4005221,-92.6238028
Goodridge High School,40,Tiny,"Goodridge Elementary School, 201 N Osmund Ave, Goodridge, MN 56725, USA",48.1458333,-95.8083333
Granada-Huntley-East Chain H.S.,89,Tiny,"Granada Huntley East Chain Sch, 300 Reynolds St, Granada, MN 56039-4011, USA",43.6980918,-94.3455455
Grand Meadow High School,80,Tiny,"Grand Meadow Elementary School, 710 4th Ave NE, Grand Meadow, MN 55936-8683, USA",43.7103083,-92.5646103
Grand Rapids High School,947,Medium,"Grand Rapids High School, 800 NW Conifer Dr, Grand Rapids, MN 55744-2458, USA",47.2483333,-93.5438889
Great River Education Center,33,Tiny,"Great River Education Center, 132 W Division St, Waite Park, MN 56387, USA",45.553186,-94.218342
Great River School,160,Tiny,"Great River School, 1326 Energy Park Dr, St Paul, MN 55108-5202, USA",44.970201,-93.155491
Greenbush-Middle River High School,116,Tiny,"Greenbush Middle River School, 401 Park Ave W, Greenbush, MN 56726-4426, USA",48.6966199,-96.1855848
Greenway High School,263,Small,"Greenway High School, 308 Roosevelt Ave, Coleraine, MN 55722, USA",47.2883333,-93.4252778
Groves Academy,69,Tiny,"Minnesota, USA",46.729553,-94.6858998
Grygla-Gatzke High School,61,Tiny,"Grygla, MN 56727, USA",48.3007976,-95.6183321
Hancock High School,56,Tiny,"Hancock, MN 56244, USA",45.4975,-95.7966667
Harbor City International School,167,Tiny,"Harbor City International School, 332 W Michigan St # 300, Duluth, MN 55802-1644, USA",46.7834268,-92.1017868
