Name,LocationQuery,EnrollmentCount,Category
Pine Island High School,Pine Island High School,333,Small
Pine River-Backus High School,Pine River-Backus High School,205,Small
Pipestone Area High School,Pipestone Area High School in Pipestone,287,Small
Plainview-Elgin-Millville High School,Plainview-Elgin-Millville High School,478,Small
Prairie Seeds Academy,Prairie Seeds Academy,137,Tiny
Prestige Academy,Prestige Academy,42,Tiny
Princeton High School,Princeton High School,925,Medium
Prior Lake High School,Prior Lake High School,2154,VeryLarge
Proctor High School,Proctor High School,500,Small
Providence Academy,Providence Academy,287,Small
Randolph High School,Randolph High School in randolph,161,Tiny
Red Lake County Central,Red Lake County Central,71,Tiny
Red Lake Falls High School,Red Lake Falls public School in red lake falls,108,Tiny
Red Lake High School,Red Lake High School,175,Tiny
Red Rock Central High School,Red Rock Central High School,121,Tiny
Red Wing High School,Red Wing High School,809,Medium
Redwood Valley High School,Redwood Valley High School,353,Small
Renville County West High School,Renville County West High School,132,Tiny
Richfield High School,Richfield High School,928,Medium
Riverway Learning Community,Riverway Learning Community,22,Tiny
Robbinsdale Armstrong High School,Robbinsdale Armstrong High School,1789,Large
Robbinsdale Cooper High School,Robbinsdale Cooper High School,1468,Large
Rochester Century High School,Rochester Century High School,1275,Large
Rochester John Marshall,Rochester John Marshall,1391,Large
Rochester Lourdes High School,Rochester Lourdes High School in Rochester,460,Small
Rochester Mayo High School,Rochester Mayo High School,1506,Large
Rochester Off-Campus Charter High School,Rochester Off-Campus Charter High School,83,Tiny
Rockford High School,Rockford High School in Rockford,401,Small
Rocori High School,Rocori High School,742,Medium
Rogers High School,Rogers High School,1161,Large
Roseau High School,Roseau High School,374,Small
Rosemount High School,Rosemount High School,2013,VeryLarge
Roseville Area High School,Roseville Area High School,1840,Large
Rothsay High School,Rothsay High School in rothsay,59,Tiny
Round Lake-Brewster,Round Lake-Brewster,69,Tiny
Royalton High School,Royalton High School,183,Tiny
Rush City High School,Rush City High School,236,Small
Rushford-Peterson High School,Rushford-Peterson High School,146,Tiny
Russell-Tyler-Ruthton High School,RTR High School in Tyler,153,Tiny
Sacred Heart High School,Sacred Heart High School,102,Tiny
Saint Agnes High School,Saint Agnes High School,216,Small
Saint Anthony Village High School,Saint Anthony Village High School,609,Medium
Saint Charles High School,Saint Charles High School,263,Small
Saint Clair High School,Saint Clair High School,175,Tiny
Saint Cloud Apollo High School,Saint Cloud Apollo High School,1031,Large
Saint Cloud Cathedral High School,Saint Cloud Cathedral High School,434,Small
Saint Cloud Christian School,Saint Cloud Christian School,61,Tiny
Saint Cloud Tech High School,Saint Cloud Tech High School,1241,Large
Saint Croix Lutheran High School,Saint Croix Lutheran High School in West Saint Paul,411,Small
Saint Francis High School,Saint Francis High School,1504,Large
Saint James High School,Saint James High School,292,Small
Saint John's Prep,Saint John's Prep,223,Small
Saint Louis Park High School,Saint Louis Park High School,1178,Large
Saint Michael-Albertville H.S.,Saint Michael-Albertville H.S.,1314,Large
Saint Paul Central High School,Saint Paul Central High School,1716,Large
Saint Paul Como Park H.S.,Saint Paul Como Park H.S.,1111,Large
Saint Paul Harding High School,Saint Paul Harding High School,1355,Large
Saint Paul Highland Park,Saint Paul Highland Park,1151,Large
Saint Paul Humboldt High School,Saint Paul Humboldt High School,423,Small
Saint Paul Johnson High School,Saint Paul Johnson High School,1123,Large
Saint Paul Open School,Saint Paul Open School,84,Tiny
Saint Peter High School,Saint Peter High School,492,Small
Saint Thomas Academy,Saint Thomas Academy,1066,Large
Sartell-Saint Stephen High School,Sartell-Saint Stephen High School in Sartell,962,Medium
Sauk Centre High School,Sauk Centre High School,334,Small
Sauk Rapids-Rice High School,Sauk Rapids-Rice High School,1078,Large
Schaeffer Academy,Schaeffer Academy,93,Tiny
Sebeka High School,Sebeka High School,146,Tiny
Shakopee High School,Shakopee High School,1736,Large
Shattuck-Saint Mary's,Shattuck-Saint Mary's,391,Small
Sibley East High School,Sibley East High School,313,Small
Silver Bay (Wm. Kelley) High School,Silver Bay (Wm. Kelley) High School,130,Tiny
Simley High School,Simley High School,973,Medium
Sioux Valley Lutheran High School,Sioux Valley Lutheran High School in lakefield,6,Tiny
Sleepy Eye High School,Sleepy Eye High School,162,Tiny
Sleepy Eye Saint Mary's High School,Sleepy Eye Saint Mary's High School,124,Tiny
South Ridge High School,South Ridge High School,107,Tiny
South Saint Paul High School,South Saint Paul High School,768,Medium
Southland High School,Southland High School,212,Small
Southwest Christian School,Southwest Christian School,163,Tiny
Southwest Minnesota Christian,Southwest Minnesota Christian,109,Tiny
Southwest Star Concept H. S.,Southwest Star Concept H. S.,116,Tiny
Spectrum High School,Spectrum High School,222,Small
Spring Grove High School,Spring Grove High School,86,Tiny
Spring Lake Park High School,Spring Lake Park High School,1135,Large
Springfield High School,Springfield High School,176,Tiny
St. Croix Preparatory Academy,St. Croix Preparatory Academy,176,Tiny
St. John Vianney Academy,St. John Vianney school in saint paul,25,Tiny
St. Paul Academy and Summit School,St. Paul Academy and Summit School,353,Small
